locus,comeron_midpoint_recomb
2L:9880000..9884999      ,5.39      
2L:9885000..9889999      ,5.39      
2L:9890000..9894999      ,5.39      
2L:9895000..9899999      ,5.39      
2L:9900000..9904999      ,1.52      
2L:9905000..9909999      ,1.52      
2L:9910000..9914999      ,1.52      
2L:9915000..9919999      ,1.52      
2L:9920000..9924999      ,1.52      
2L:9925000..9929999      ,1.52      
2L:9930000..9934999      ,1.52      
2L:9935000..9939999      ,1.52      
2L:9940000..9944999      ,1.52      
2L:9945000..9949999      ,1.52      
2L:9950000..9954999      ,1.52      
2L:9955000..9959999      ,1.52      
2L:9960000..9964999      ,1.52      
2L:9965000..9969999      ,1.52      
2L:9970000..9974999      ,1.52      
2L:9975000..9979999      ,1.52      
2L:9980000..9984999      ,1.52      
2L:9985000..9989999      ,1.52      
2L:9990000..9994999      ,1.52      
2L:9995000..9999999      ,1.52      
